Fiscal Year,Ad Campaign Name,Agency,Org Ad Placed In (Agency submission),Org Ad Placed In (MOECM Standardized),Outlet Channel (Agency submission),Type of Media (MOECM),Language,Spend Amount,Vendor Name,Ad Placement Method,Quarter (MOECM),Ad Start Date,Ad End Date,Purpose
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,OM Trade Desk (OTT),The Trade Desk,Other,Other,English,91396,OpAD Media,Placement Vendor,Q3,01/10/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,ONE CARIBBEAN TV-TV,One Caribbean Television,Television Channel,TV,English,5738,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,ONE CARIBBEAN TV-TV,One Caribbean Television,Television Channel,TV,English,1913,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,Spotify,Spotify,Other,Other,English,4000,OpAD Media,Direct Through Outlet,Q3,01/13/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,THE AFRICA CHANNEL-TV,The Africa Channel TV,Television Channel,TV,English,9669,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,THE AFRICA CHANNEL-TV,The Africa Channel TV,Television Channel,TV,English,3223,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WABC-TV,ABC (WABC),Television Channel,TV,English,146115,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WABC-TV,ABC (WABC),Television Channel,TV,English,48790,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WBAI-FM,Pacifica Radio (WBAI),Radio Channel,Radio,English,3570,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WBAI-FM,Pacifica Radio (WBAI),Radio Channel,Radio,English,1190,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WBLS-FM,WBLS,Radio Channel,Radio,English,24055,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WBLS-FM,WBLS,Radio Channel,Radio,English,8458,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WCBS-TV,Audacy (1010 WINS),Television Channel,TV,English,64940,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WCBS-TV,Audacy (1010 WINS),Television Channel,TV,English,58650,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WINS-FM,Audacy (1010 WINS),Radio Channel,Radio,English,15746,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WINS-FM,Audacy (1010 WINS),Radio Channel,Radio,English,5461,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WKTU-FM,iHeart Media,Radio Channel,Radio,English,13218,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WKTU-FM,iHeart Media,Radio Channel,Radio,English,4675,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WLNY-TV,CBS (WLNY),Television Channel,TV,English,4590,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WLNY-TV,CBS (WLNY),Television Channel,TV,English,1530,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WLTW-FM,iHeart Media,Radio Channel,Radio,English,29878,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WLTW-FM,iHeart Media,Radio Channel,Radio,English,10413,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WNBC-TV,WNBC,Television Channel,TV,English,25245,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WNBC-TV,WNBC,Television Channel,TV,English,8415,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WNET-TV,The WNET Group,Television Channel,TV,English,3570,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WNET-TV,The WNET Group,Television Channel,TV,English,1190,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WNYE-FM,Aktina FM Radio,Radio Channel,Radio,English,2295,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WNYE-FM,Aktina FM Radio,Radio Channel,Radio,English,765,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WNYW-TV,FOX,Television Channel,TV,English,27158,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WNYW-TV,FOX,Television Channel,TV,English,8883,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WPAT-SU,Sunuafrik Radio,Radio Channel,Radio,English,1071,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WPAT-SU,Sunuafrik Radio,Radio Channel,Radio,English,357,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WPIX-TV,PIX 11,Television Channel,TV,English,20570,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WPIX-TV,PIX 11,Television Channel,TV,English,6800,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WQHT-FM,HOT97,Radio Channel,Radio,English,16499,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WQHT-FM,HOT97,Radio Channel,Radio,English,5763,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WSNR-TL,Davidzon Radio (WSNR 620 AM),Radio Channel,Radio,English,4590,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WSNR-TL,Davidzon Radio (WSNR 620 AM),Radio Channel,Radio,English,1530,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,English,12635,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,English,4212,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WVIP-FM,WVIP 93.5 FM,Radio Channel,Radio,English,332,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WVIP-FM,WVIP 93.5 FM,Radio Channel,Radio,English,111,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WVIP-IR,WVIP 93.5 FM,Radio Channel,Radio,English,7905,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WVIP-IR,WVIP 93.5 FM,Radio Channel,Radio,English,2635,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WWOR-TV,WWOR - TV. My 9,Television Channel,TV,English,15300,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WWOR-TV,WWOR - TV. My 9,Television Channel,TV,English,5100,OpAD Media,Placement Vendor,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WWPR-FM,iHeart Media,Radio Channel,Radio,English,22663,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WWPR-FM,iHeart Media,Radio Channel,Radio,English,7684,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WWTR-AM,WWTR - EBC Radio,Radio Channel,Radio,English,8925,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WWTR-AM,WWTR - EBC Radio,Radio Channel,Radio,English,2975,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WXBK-FM,Audacy (1010 WINS),Radio Channel,Radio,English,9520,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,WXBK-FM,Audacy (1010 WINS),Radio Channel,Radio,English,3400,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,ZCPJ-SR,ZCPJ-SR,Radio Channel,Radio,English,1326,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Act Fast Treatment,DOHMH,ZCPJ-SR,ZCPJ-SR,Radio Channel,Radio,English,442,OpAD Media,Direct Through Outlet,Q3,01/09/2023,02/05/2023,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,"1850 RCN, Effectv/New York City Zone, NY-Cable",RCN Corporation,Television Channel,TV,English,910,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,"2724 VERIZON, Altice/Verizon-So Westchr-Bron-Cable",Verizon,Television Channel,TV,English,1649,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,"2939 SPECTRUM, Local-New York 1 News-Cable",Spectrum,Television Channel,TV,English,17340,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,"3134 CABLEVISION, Altice/Bronx, NY-Cable",Altice,Television Channel,TV,English,2164,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,"3186 CABLEVISION, Altice/Brooklyn, NY-Cable",Altice,Television Channel,TV,English,2309,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,"3961 SPECTRUM, New York Market Zone,-Cable",Spectrum,Television Channel,TV,English,9435,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,"5212 CABLEVISION, News 12 Brooklyn, NY-Cable",News 12,Television Channel,TV,English,5993,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,"5958 CABLEVISION, News 12 Bronx, NY-Cable",News 12,Television Channel,TV,English,5993,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Bing,Bing,Other,Other,English,524,OpAD Media,Direct Through Outlet,Q1,08/22/2022,08/31/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Bing,Bing,Other,Other,English,1502,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Bk Reader,BK Reader,Newspaper (Digital),Digital,English,1000,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Black Enterprise Magazine,Black Enterprise Magazine,Magazine (Digital),Digital,English,5400,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,BQE Media- Brooklyn Downtown Star,BQE Media,Newspaper (Digital),Digital,English,500,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,BQE Media- Queens Examiner,BQE Media,Newspaper (Digital),Digital,English,500,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Caribbean American Weekly,Caribbean American Weekly,Newspaper (Digital),Digital,English,950,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Caribbean Times,Caribbean Times,Newspaper (Digital),Digital,English,900,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Hulu TV,Hulu TV,Television Channel,TV,English,48550,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Khasokhas,Khasokhas,Newspaper (Digital),Digital,English,1100,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,OM Trade Desk (Audio),The Trade Desk,Other,Other,English,11122,OpAD Media,Placement Vendor,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,OM Trade Desk (OTT),The Trade Desk,Other,Other,English,74700,OpAD Media,Placement Vendor,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,ONE CARIBBEAN TV-TV,One Caribbean Television,Television Channel,TV,English,3740,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Our Time Press,"DBG Media Publishers of Our Time Press, Inc.",Newspaper (Digital),Digital,English,640,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Pinterest,Pinterest,Social Media,Other,English,6845,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Rockaway Times,The Rockaway Times,Newspaper (Digital),Digital,English,2400,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Schneps- AMNY-Metro,Schneps Media,Newspaper (Digital),Digital,English,4850,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Schneps- Bronx Times,Schneps Media,Newspaper (Digital),Digital,English,3650,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Schneps- Brooklyn Paper,Schneps Media,Newspaper (Digital),Digital,English,3650,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Schneps- Brownstoner Media,Schneps Media,Newspaper (Digital),Digital,English,3650,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Schneps- Queens Courier,Schneps Media,Newspaper (Digital),Digital,English,3650,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Spotify,Spotify,Other,Other,English,7111,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Staten Island Advance,Staten Island Advance/SiLive.com/SI Media Group,Newspaper (Digital),Digital,English,5400,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,THE AFRICA CHANNEL-TV,The Africa Channel TV,Television Channel,TV,English,5730,OpAD Media,Placement Vendor,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,The Lo-Down,The Lo-Down,Newspaper (Digital),Digital,English,699,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,The National Herald,The National Herald,Newspaper (Digital),Digital,English,500,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,The Tribeca Trib,The Tribeca Trib,Newspaper (Digital),Digital,English,956,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Tribeca Citizen,Tribeca Citizen,Newspaper (Digital),Digital,English,600,OpAD Media,Placement Vendor,Q1,08/22/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,Univision,Univision,Television Channel,TV,English,4267,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WABC-TV,ABC (WABC),Television Channel,TV,English,139740,OpAD Media,Placement Vendor,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WBLS-FM,WBLS,Radio Channel,Radio,English,27285,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WCBS-TV,Audacy (1010 WINS),Television Channel,TV,English,45815,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WINS-AM,Audacy (1010 WINS),Radio Channel,Radio,English,25755,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WKTU-FM,iHeart Media,Radio Channel,Radio,English,18785,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WNBC-TV,WNBC,Television Channel,TV,English,8415,OpAD Media,Placement Vendor,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WNYW-TV,FOX,Television Channel,TV,English,17000,OpAD Media,Placement Vendor,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WPAT-SU,Sunuafrik Radio,Radio Channel,Radio,English,714,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WPIX-TV,PIX 11,Television Channel,TV,English,29453,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WQHT-FM,HOT97,Radio Channel,Radio,English,20893,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WSNR-TL,Davidzon Radio (WSNR 620 AM),Radio Channel,Radio,English,6503,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,English,150,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,English,1647,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,English,719,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,English,240,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,English,5238,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,English,750,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WVIP-FM,WVIP 93.5 FM,Radio Channel,Radio,English,332,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WVIP-IR,WVIP 93.5 FM,Radio Channel,Radio,English,6885,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WWPR-FM,iHeart Media,Radio Channel,Radio,English,25075,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WWTR-AM,WWTR - EBC Radio,Radio Channel,Radio,English,8925,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,WXBK-FM,Audacy (1010 WINS),Radio Channel,Radio,English,11943,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - Back to School,DOHMH,ZCPJ-SR,ZCPJ-SR,Radio Channel,Radio,English,1020,OpAD Media,Direct Through Outlet,Q1,09/01/2022,09/25/2022,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,"1850 ASTOUND BROAD, Effectv/New York City Zone, NY-Cable",RCN Corporation,Television Channel,TV,English,816,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,"2724 VERIZON, Altice/Verizon-So Westchr-Bron-Cable",Verizon,Television Channel,TV,English,1938,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,"2939 SPECTRUM, Local-New York 1 News-Cable",Spectrum,Television Channel,TV,English,18190,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,"3134 CABLEVISION, Altice/Bronx, NY-Cable",Altice,Television Channel,TV,English,2142,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,"3186 CABLEVISION, Altice/Brooklyn, NY-Cable",Altice,Television Channel,TV,English,2142,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,"3961 SPECTRUM, New York Market Zone,-Cable",Spectrum,Television Channel,TV,English,5100,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,"5212 CABLEVISION, News 12 Brooklyn, NY-Cable",News 12,Television Channel,TV,English,6599,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,"5958 CABLEVISION, News 12 Bronx, NY-Cable",News 12,Television Channel,TV,English,6599,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,"9815 DIRECTV, INC., Spectrum/DirecTV- I+ New York-Cable",Cable - Various,Television Channel,TV,English,1306,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,DoubleVerify (YouTube),Double Verify,Social Media,Other,English,1525,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,Extreme Reach,Extreme Reach,Other,Other,English,41,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,Facebook,Meta,Social Media,Other,English,29760,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,Gamut TV,Gamut TV,Television Channel,TV,English,9200,OpAD Media,Placement Vendor,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
FY23,CVD-Vaccination - BRIC,DOHMH,Google,Google,Other,Other,English,30500,OpAD Media,Direct Through Outlet,Q3,01/30/2023,02/26/2023,Programmatic: Public Health
