Permit_Type,ACCELA,Facility_Name,ADDRESS_ No,ADDRESS_St,BO,ZIP,Inspection_Date,Inspection_Type,# of PHH Violations,# of All Violations,# of Critical Violations,# of General Violations,DOCKET,Lat,Long,Community Board,Council District,Census tract,Boro-Block-Lot,BIN,NTA,NTA Code
Indoor,40425434,N.Y. INSTITUTE FOR SPECIAL ED,999,PELHAM PARKWAY NORTH,BX,10469,09/15/2021,Routine Inspection,0,0,0,0,,40.858050533807,-73.859308940921,211,13,032400,2043550001,2050178,Bronxdale,BX07
Indoor,50003158,NEWYORK SPA & SAUNA CORP,149-06,NORTHERN BOULEVARD,QU,11354,09/16/2021,Routine Inspection,0,2,0,2,,40.765330708927,-73.816867655929,407,20,115700,4050177503,4595272,Murray Hill,QN51
Indoor,40425557,ST. GEORGE HEALTH & RACQUETBALL ASSOC,43,CLARK STREET,BK,11201,09/20/2021,Routine Inspection,0,2,0,2,,40.697809987093,-73.994301982706,302,33,000501,3002310017,3001725,Brooklyn Heights-Cobble Hill,BK09
Indoor,41419392,THE DOWNTOWN CONDOMINIUM,15,BROAD STREET,MA,10005,09/20/2021,Routine Inspection,0,1,0,1,,40.706524247383,-74.011022421513,101,01,000700,1000267501,1078988,Battery Park City-Lower Manhattan,MN25
Indoor,40425794,JEFF T.BLAU & DAVID WINE / TRIBECA TOWER,105,DUANE STREET,MA,10007,09/20/2021,Routine Inspection,0,0,0,0,,40.715532950036,-74.006063875826,101,01,003300,1001510001,1001650,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,50086626,565 BROOME SOHO CONDOMINIUM,565,BROOME STREET,MA,10013,09/20/2021,Routine Inspection,1,1,0,0,03214-21S0,40.72436836806,-74.005848215896,102,03,003700,1004777502,1089738,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,41365725,SPA CASTLE INC,11-11,131 STREET,QU,11356,09/21/2021,Routine Inspection,3,4,0,1,03219-21S0,40.787492558158,-73.837350713923,407,19,094500,4040110024,4097283,Whitestone,QN49
Indoor,50019202,250 WEST STREET CONDOMINIUM,250,WEST STREET,MA,10013,09/22/2021,Routine Inspection,0,1,0,1,,40.721697300589,-74.011317159279,101,01,003900,1002177503,1002814,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,50063494,10 MADISON SQUARE WEST,10,MADISON SQUARE WEST,MA,10010,09/22/2021,Routine Inspection,0,0,0,0,,40.742779890489,-73.98920612814,105,03,005800,1008267501,1015602,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,50053270,21 EAST 61 STREET APARTMENT CORP,680,MADISON AVENUE,MA,10065,09/22/2021,Routine Inspection,0,0,0,0,,40.765151832809,-73.970278865223,108,04,011401,1013760015,1040849,Upper East Side-Carnegie Hill,MN40
Indoor,40425738,OXFORD ON 72ND STREET,422,EAST 72 STREET,MA,10021,09/22/2021,Routine Inspection,0,0,0,0,,40.76749649395,-73.955313832527,108,05,012400,1014667501,1045832,Lenox Hill-Roosevelt Island,MN31
Indoor,40425795,IOWA SPORTS MANAGEMENT INC,200,EAST 94 STREET,MA,10028,09/22/2021,Routine Inspection,0,0,0,0,,40.783734996386,-73.949951371841,108,05,015400,1015397502,1048916,Yorkville,MN32
Indoor,40425514,KINGS BAY Y.M.-Y.W.H.A.,3495,NOSTRAND AVENUE,BK,11229,09/22/2021,Routine Inspection,0,1,0,1,,40.598810211661,-73.941570619367,315,46,057000,3073630036,3200300,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Indoor,41415766,ONE UNION SQUARE EAST CONDOMINIUM,1,IRVING PLACE,MA,10003,09/23/2021,Routine Inspection,0,0,0,0,,40.734065218716,-73.988713206815,105,02,005000,1008707501,1083247,Gramercy,MN21
Indoor,40425400,NEW YORK ATHLETIC CLUB INC,180,CENTRAL PARK SOUTH,MA,10019,09/23/2021,Routine Inspection,0,1,0,1,,40.766718222992,-73.978736594767,105,04,013700,1010110001,1023750,Midtown-Midtown South,MN17
Indoor,41247393,ISTITHMAR COLUMBUS CENTER L.L.C.,80,COLUMBUS CIRCLE,MA,10019,09/23/2021,Routine Inspection,0,0,0,0,,40.769021754817,-73.982800954249,104,03,014500,1010497501,1026318,Lincoln Square,MN14
Indoor,50035178,FOUNTAIN OF SPA INC,32-02,LINDEN PLACE,QU,11354,09/23/2021,Routine Inspection,0,0,0,0,,40.767565933016,-73.831861614228,407,20,086900,4049500048,4112019,Flushing,QN22
Indoor,40425496,TOWERS COUNTRY CLUB INC,272-86,GRAND CENTRAL PARKWAY,QU,11005,09/23/2021,Routine Inspection,0,1,0,1,,40.759252238802,-73.71293971741,413,23,155101,4084890001,4456886,Glen Oaks-Floral Park-New Hyde Park,QN44
Indoor,50063893,685 First Realty Company LLC,685,1 AVENUE,MA,10016,09/27/2021,Routine Inspection,0,0,0,0,,40.747011944353,-73.971171197559,106,04,008800,1009450023,1089769,Turtle Bay-East Midtown,MN19
Indoor,50060587,M PLAZA L.P.,482,WEST 43 STREET,MA,10036,09/27/2021,Routine Inspection,1,2,1,0,03308-21S0,40.760069511468,-73.994466293113,104,03,012100,1010520001,1083746,Clinton,MN15
Indoor,40425798,GOTHAM CONDOMINIUM HEALTH CLUB,170,EAST 87 STREET,MA,10128,09/27/2021,Routine Inspection,0,0,0,0,,40.779839276552,-73.954341433742,108,05,014802,1015157503,1047961,Upper East Side-Carnegie Hill,MN40
Indoor,40425779,NYCP&R / ROY WILKINS,00000,119 STREET & MERRICK BOULEVARD,QU,11434,09/28/2021,Routine Inspection,0,1,0,1,,40.6863281,-73.76840455,,,,,,,
Indoor,41477222,IMAGINE FLAGSHIP LLC,40,HARRISON STREET,MA,10013,09/28/2021,Routine Inspection,0,0,0,0,,40.718859256673,-74.010844095181,101,01,003900,1001420025,1083235,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,50049401,150 CHARLES STREET CONDOMINIUM,150,CHARLES STREET,MA,10014,09/28/2021,Routine Inspection,0,0,0,0,,40.734027008853,-74.008811487552,102,03,007500,1006367503,1089743,West Village,MN23
Indoor,41453186,YMCA OF GREATER NEW YORK,207,BEACH 73 STREET,QU,11692,09/28/2021,Routine Inspection,0,0,0,0,,40.589437996783,-73.801063337774,414,31,094202,4160880100,4594499,Hammels-Arverne-Edgemere,QN12
Indoor,50012026,50 WEST DEVELOPMENT LLC,50,WEST STREET,MA,10006,09/29/2021,Routine Inspection,0,0,0,0,,40.70799766692,-74.01553128282,101,01,001300,1000177501,1090192,Battery Park City-Lower Manhattan,MN25
Indoor,50058528,VNO 225 WEST 58TH STREET LLC,220,CENTRAL PARK SOUTH,MA,10019,09/29/2021,Routine Inspection,0,1,0,1,,40.767157573889,-73.979786995892,105,04,013700,1010307501,1090184,Midtown-Midtown South,MN17
Indoor,50060208,THE RESIDENTIAL SECTION OF 140 WEST STREET CONDOMINIUM,100,BARCLAY STREET,MA,10007,09/30/2021,Routine Inspection,0,0,0,0,,40.714094147451,-74.012708252033,101,01,002100,1000847501,1001228,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,40425815,Y.M.C.A. OF GREATER NEW YORK,224,EAST 47 STREET,MA,10017,09/30/2021,Routine Inspection,0,0,0,0,,40.75362687985,-73.971417370519,106,04,009000,1013200034,1037605,Turtle Bay-East Midtown,MN19
Indoor,41591402,100 ELEVENTH AVENUE CONDOMINIUM,100,11 AVENUE,MA,10011,09/30/2021,Routine Inspection,0,0,0,0,,40.74620832342,-74.008055221182,104,03,009900,1006917501,1087746,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,40425611,WINSTON CHURCHILL OWNERS CORP,2500,JOHNSON AVENUE,BX,10463,09/30/2021,Routine Inspection,0,0,0,0,,40.877155711491,-73.917860159073,208,11,029302,2057160500,2083245,Spuyten Duyvil-Kingsbridge,BX29
Indoor,41380939,TCR TENNIS CLUB OF RIVERDALE INC,2600,NETHERLAND AVENUE,BX,10463,09/30/2021,Routine Inspection,0,0,0,0,,40.878737837889,-73.915677632445,208,11,029302,2057220475,2083247,Spuyten Duyvil-Kingsbridge,BX29
Indoor,50083719,70 CHARLTON APARTMENT CORPORATION,70,CHARLTON STREET,MA,10014,10/04/2021,Routine Inspection,0,0,0,0,,40.727239355189,-74.006559232767,102,03,003700,1005800011,1090545,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,40604284,BEDFORD YMCA,139,MONROE STREET,BK,11216,10/04/2021,Routine Inspection,0,0,0,0,,40.685193744183,-73.952985860718,303,36,024300,3018120001,3329682,Bedford,BK75
Indoor,41734417,ASPHALT GREEN INC,212,NORTH END AVENUE,MA,10282,10/04/2021,Routine Inspection,0,0,0,0,,40.71620733542,-74.015053427097,101,01,031703,1000167520,1087847,Battery Park City-Lower Manhattan,MN25
Indoor,40425833,HEBREW EDUCATIONAL SOCIETY,9502,SEAVIEW AVENUE,BK,11236,10/04/2021,Routine Inspection,0,0,0,0,,40.632800565609,-73.891220225729,318,46,102800,3083180008,3235056,Canarsie,BK50
Indoor,41411186,200 CHAMBERS STREET CONDOMINIUM,200,CHAMBERS STREET,MA,10007,10/05/2021,Routine Inspection,0,0,0,0,,40.716855439004,-74.012207355491,101,01,002100,1001427502,1087716,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,41332691,325 FIFTH AVENUE CONDOMINIUM,325,5 AVENUE,MA,10016,10/05/2021,Routine Inspection,1,1,0,0,03433-21S0,40.747420846893,-73.985282351134,105,04,007400,1008627503,1087309,Midtown-Midtown South,MN17
Indoor,40941108,YMCA OF GREATER NEW YORK,125,WEST 14 STREET,MA,10011,10/05/2021,Routine Inspection,0,1,0,1,,40.737743735789,-73.997748289879,104,03,008100,1007907502,1086581,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,41397314,RIVERHOUSE ONE ROCKEFELLER PARK,2,RIVER TERRACE,MA,10282,10/05/2021,Routine Inspection,0,0,0,0,,40.715526411968,-74.016651307677,101,01,031703,1000167516,1087518,Battery Park City-Lower Manhattan,MN25
Indoor,50051391,LIBERTY COURT CONDOMINIUM,200,RECTOR PLACE,MA,10280,10/05/2021,Routine Inspection,0,0,0,0,,40.708801803868,-74.016115794711,101,01,031704,1000167508,1065475,Battery Park City-Lower Manhattan,MN25
Indoor,41412914,111 FULTON STREET CONDOMINIUM,111,FULTON STREET,MA,10038,10/06/2021,Routine Inspection,1,2,1,0,03469-21S0,40.709741446444,-74.006791958532,101,01,001501,1000917502,1001263,Battery Park City-Lower Manhattan,MN25
Indoor,41730380,FC 8 SPRUCE STREET RESIDENTIAL LLC,8,SPRUCE STREET,MA,10038,10/06/2021,Routine Inspection,0,0,0,0,,40.711237420012,-74.005396175719,101,01,001501,1001007502,1087485,Battery Park City-Lower Manhattan,MN25
Indoor,41487846,2 GOLD LLC,2,GOLD STREET,MA,10038,10/06/2021,Routine Inspection,0,0,0,0,,40.707287588593,-74.007336342619,101,01,001502,1000690018,1087146,Battery Park City-Lower Manhattan,MN25
Indoor,41414681,ARRIS LOFTS CONDOMINIUM,27-28,THOMPSON AVENUE,QU,11101,10/06/2021,Routine Inspection,0,0,0,0,,40.746188471565,-73.942029127028,402,26,001900,4000827501,4000697,Hunters Point-Sunnyside-West Maspeth,QN31
Indoor,50089776,443 GREENWICH STREET,443,GREENWICH STREET,MA,10013,10/06/2021,Routine Inspection,1,1,0,0,03476-21S0,40.722874960132,-74.009625347958,101,01,003900,1002227503,1002856,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,40425407,1 BEEKMAN PLACE INC,1,BEEKMAN PLACE,MA,10022,10/06/2021,Routine Inspection,0,0,0,0,,40.752864842939,-73.965130241852,106,04,008603,1013610021,1040079,Turtle Bay-East Midtown,MN19
Indoor,41608716,THE CONVENT OF THE SACRED HEART SCHOOL,406,EAST 91 STREET,MA,10128,10/06/2021,Routine Inspection,0,0,0,0,,40.779874369617,-73.94661429256,108,05,015200,1015700041,1050740,Yorkville,MN32
Indoor,50073763,56 LEONARD STREET CONDOMINIUM,56,LEONARD STREET,MA,10013,10/07/2021,Routine Inspection,0,0,0,0,,40.7178906947,-74.006273322151,101,01,003300,1001767501,1088646,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,50015387,RELATED MANAGEMENTS COMPANY LP AGENT FOR ONE MADISON PARK CONDOMINIUM,23,EAST 22 STREET,MA,10010,10/07/2021,Routine Inspection,0,0,0,0,,40.740282102688,-73.988650802585,105,02,005600,1008517505,1087769,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,40960621,YMCA OF GREATER NEW YORK,2,CASTLE HILL AVENUE,BX,10473,10/07/2021,Routine Inspection,1,1,0,0,,40.811774033633,-73.846333345321,209,18,009000,2034870001,2020591,Soundview-Castle Hill-Clason Point-Harding Park,BX09
Indoor,41059448,LIBERTY STREET REALTY LLC,10,LIBERTY STREET,MA,10005,10/12/2021,Routine Inspection,0,0,0,0,,40.707633374321,-74.008155141122,101,01,000700,1000420022,1086256,Battery Park City-Lower Manhattan,MN25
Indoor,41501167,PARK SOUTH TOWER ASSOCIATED LLC,124,WEST 60 STREET,MA,10023,10/12/2021,Routine Inspection,0,3,0,3,,40.770224296348,-73.985230358635,107,03,014500,1011317502,1028827,Lincoln Square,MN14
Indoor,41282311,BARCLAY STREET REALTY LLC,10,BARCLAY STREET,MA,10007,10/13/2021,Routine Inspection,0,0,0,0,,40.712192406954,-74.008563305759,101,01,002100,1000880014,1087947,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,40839641,EQUINOX GREENWICH AVE INC,97,GREENWICH AVENUE,MA,10014,10/13/2021,Routine Inspection,0,0,0,0,,40.737488482694,-74.001670733617,102,03,007700,1006150029,1011017,West Village,MN23
Indoor,40425803,PROMENADE CONDOMINIUM,530,EAST 76 STREET,MA,10021,10/13/2021,Routine Inspection,0,0,0,0,,40.769070227771,-73.95100939712,108,05,013200,1014877502,1072696,Lenox Hill-Roosevelt Island,MN31
Indoor,40425733,CHANNEL CLUB CONDO,455,EAST 86 STREET,MA,10028,10/13/2021,Routine Inspection,0,0,0,0,,40.776084264791,-73.947483885862,108,05,014402,1015667501,1073878,Yorkville,MN32
Indoor,40425534,CLARIDGE HOUSE LLC,201,EAST 87 STREET,MA,10128,10/13/2021,Routine Inspection,2,2,0,0,03555-21S0,40.779355719872,-73.953150211158,108,05,014602,1015330001,1048809,Yorkville,MN32
Indoor,40425406,JEWISH COM. HOUSE - BENSONHURST INC,7802,BAY PARKWAY,BK,11214,10/13/2021,Routine Inspection,0,0,0,0,,40.606361800172,-73.989235471665,311,44,027000,3062640030,3162352,Bensonhurst West,BK28
Indoor,40710271,TRIBECA PARK HEALTH CLUB (BPC ASSOC. L.P.),34,RIVER TERRACE,MA,10282,10/13/2021,Routine Inspection,0,0,0,0,,40.717917278533,-74.015410950589,101,01,031703,1000167522,1085774,Battery Park City-Lower Manhattan,MN25
Indoor,40425829,KINSGWAY JEWISH CENTER,2810,NOSTRAND AVENUE,BK,11229,10/13/2021,Routine Inspection,0,0,0,0,,40.615716942724,-73.944775852051,315,45,064200,3076900051,3211291,Madison,BK44
Indoor,40425415,VARIETY BOYS & GIRLS CLUB OF QUEENS INC,21-12,30 ROAD,QU,11102,10/14/2021,Routine Inspection,0,1,0,1,,40.768948478068,-73.928268786973,401,22,007900,4005500007,4006319,Old Astoria,QN71
Indoor,41047917,NYCP&R / CHELSEA RECREATION CENTER,430-444,WEST 25 STREET,MA,10011,10/14/2021,Routine Inspection,0,0,0,0,,40.748283634049,-74.001649350894,104,03,009300,1007220057,1012811,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,41438950,CRUNCH LLC.,144,WEST   38 STREET,MA,10018,12/21/2022,Routine Inspection,,0,,,,40.75308,-73.987772,105,03,010900,1008130064,1015263,,MN17
Indoor,41203659,ORION CONDOMINIUM,350,WEST 42 STREET,MA,10036,10/14/2021,Routine Inspection,0,1,0,1,,40.757826842596,-73.991239495956,104,03,011500,1010327501,1087264,Clinton,MN15
Indoor,40425512,LENOX HILL NEIGHBORHOOD ASSN.,331,EAST 70 STREET,MA,10021,10/14/2021,Routine Inspection,0,0,0,0,,40.766918346171,-73.957949592804,108,05,012600,1014450014,1044838,Lenox Hill-Roosevelt Island,MN31
Indoor,40425674,STRAND CONDOMINIUM ASSOC,500,WEST 43 STREET,MA,10036,10/14/2021,Routine Inspection,0,1,0,1,,40.760333036847,-73.995094365606,104,03,012900,1010717501,1076215,Clinton,MN15
Indoor,40425814,Y.M.C.A. OF NEW YORK,357,9 STREET,BK,11215,10/14/2021,Routine Inspection,0,0,0,0,,40.668418065707,-73.98474472013,306,39,013700,3010057502,3022136,Park Slope-Gowanus,BK37
Indoor,41380760,YMCA OF GREATER NEW YORK,330,8 STREET,BK,11215,10/14/2021,Routine Inspection,0,0,0,0,,40.669016359836,-73.984247123498,306,39,013700,3010050031,3420415,Park Slope-Gowanus,BK37
Indoor,41696960,MOTT & PRINCE MANAGEMENT INC,379,MADISON STREET,MA,10002,10/16/2021,Routine Inspection,0,0,0,0,,40.713497719781,-73.981347209411,103,02,000202,1002670037,1003221,Lower East Side,MN28
Indoor,41401067,THE HIGHPOINT CONDOMINIUM,250,EAST 40 STREET,MA,10016,10/18/2021,Routine Inspection,0,1,0,1,,40.748656608449,-73.973458654641,106,04,008800,1009207501,1076162,Turtle Bay-East Midtown,MN19
Indoor,40425399,THE UNIVERSITY CLUB,1,WEST 54 STREET,MA,10019,10/18/2021,Routine Inspection,0,0,0,0,,40.761244606063,-73.975854128265,105,04,010400,1012700034,1034800,Midtown-Midtown South,MN17
Indoor,41407420,THE HERITAGE AT TRUMP PLACE CONDOMINIUM,240,RIVERSIDE BOULEVARD,MA,10069,10/18/2021,Routine Inspection,0,0,0,0,,40.780470717335,-73.987336804315,107,06,015900,1011717503,1087072,Lincoln Square,MN14
Indoor,40425800,LA RIVE CONDOMINIUM MIDBORO MGT. INC,2521-23,PALISADE AVENUE,BX,10463,10/18/2021,Routine Inspection,0,1,0,1,,40.881053403065,-73.922064720926,208,11,029301,2057457501,2087530,Spuyten Duyvil-Kingsbridge,BX29
Indoor,41234907,ETHICAL CULTURE FIELDSTON SCHOOL,3901,FIELDSTON ROAD,BX,10471,10/18/2021,Routine Inspection,0,0,0,0,,40.890425399041,-73.905756247904,208,11,033500,2057810992,2096805,North Riverdale-Fieldston-Riverdale,BX22
Indoor,50058693,RIVERDALE COUNTRY SCHOOL INC,5250,FIELDSTON ROAD,BX,10471,10/18/2021,Routine Inspection,0,0,0,0,,40.899902034656,-73.901430878074,208,11,035100,2058363127,2100872,North Riverdale-Fieldston-Riverdale,BX22
Indoor,40425780,NYCP&R / ASSER LEVY POOL,00000,EAST 23 STREET & ASSER LEVY PLACE,MA,10010,10/19/2021,Routine Inspection,0,1,0,1,,40.7361301,-73.97615915,,,,,,,
Indoor,40425673,THE HORIZON CONDOMINIUM - B,415,EAST 37 STREET,MA,10016,10/19/2021,Routine Inspection,0,0,0,0,,40.745557382085,-73.971821437683,106,04,008601,1009697501,1076168,Turtle Bay-East Midtown,MN19
Indoor,41443483,THE LAUREL CONDOMINIUM,400,EAST 67 STREET,MA,10065,10/19/2021,Routine Inspection,0,0,0,0,,40.764278021823,-73.958312261568,108,05,011600,1014617501,1087926,Lenox Hill-Roosevelt Island,MN31
Indoor,40690302,TRUMP INTERNATIONAL  HOTEL & TOWER,1,CENTRAL PARK WEST,MA,10023,10/19/2021,Routine Inspection,0,1,0,1,,40.768522020993,-73.981588061988,107,03,014500,1011137502,1027191,Lincoln Square,MN14
Indoor,41658752,THE ALFRED CONDOMINIUM,161,WEST 61 STREET,MA,10023,10/19/2021,Routine Inspection,0,0,0,0,,40.771399155233,-73.986056865047,107,03,014500,1011327501,1070131,Lincoln Square,MN14
Indoor,41071003,WEST 64TH ST LLC,1930,BROADWAY,MA,10023,10/19/2021,Routine Inspection,1,2,1,0,03679-21S0,40.772537691665,-73.98217544307,107,06,014900,1011170001,1086193,Lincoln Square,MN14
Indoor,40425823,THE FOREST HILLS JEWISH CENTER,106-06,QUEENS BOULEVARD,QU,11375,10/19/2021,Routine Inspection,0,1,0,1,,40.722112270815,-73.847334566261,406,29,071100,4032370040,4077479,Forest Hills,QN17
Indoor,40425650,ZWIN VANDERBILT ASSOCIATES,235,EAST 40 STREET,MA,10016,10/20/2021,Routine Inspection,0,1,0,1,,40.748857075371,-73.973891668178,106,04,008800,1013147501,1037178,Turtle Bay-East Midtown,MN19
Indoor,41206194,ASN 50TH LLC,250,WEST 50 STREET,MA,10019,10/20/2021,Routine Inspection,0,0,0,0,,40.761822569531,-73.985033688823,105,03,012500,1010210001,1085498,Midtown-Midtown South,MN17
Indoor,41408641,WEST 60TH STREET ASSOCIATES LLC,229,WEST 60 STREET,MA,10023,10/20/2021,Routine Inspection,0,0,0,0,,40.771734313469,-73.988775394741,107,06,014700,1011520013,1087958,Lincoln Square,MN14
Indoor,41407423,220 RIVERSIDE BLVD AT TRUMP PLACE CONDOMINIUM,220,RIVERSIDE BOULEVARD,MA,10069,10/20/2021,Routine Inspection,0,1,0,1,,40.779683031955,-73.987882184189,107,06,015900,1011717502,1086065,Lincoln Square,MN14
Indoor,41717962,THE JEWISH COMMUNITY CENTER IN MANHATTAN INC,334,AMSTERDAM AVENUE,MA,10023,10/20/2021,Routine Inspection,0,0,0,0,,40.781007626178,-73.979891101231,107,06,016300,1011670033,1085971,Upper West Side,MN12
Indoor,50078525,"IMAGINE SWIMMING, INC.",752,WEST END AVENUE,MA,10025,10/20/2021,Routine Inspection,0,0,0,0,,40.795660415054,-73.972894481523,107,06,018300,1018687502,1056066,Upper West Side,MN12
Indoor,41439896,IOWA SPORTS MANAGEMENT INC,225,RECTOR PLACE,MA,10280,10/20/2021,Routine Inspection,0,0,0,0,,40.709262872374,-74.016487423711,101,01,031704,1000167515,1000053,Battery Park City-Lower Manhattan,MN25
Outdoor,40426214,1170 OCEAN PARKWAY OWNERS CORP,1170,OCEAN PARKWAY,BK,11230,08/26/2021,Routine Inspection,0,1,0,1,,40.620117909593,-73.969713322003,312,44,044800,3054951018,3131068,Ocean Parkway South,BK46
Outdoor,41731893,ONE YORK STREET CONDOMINIUM,1,YORK STREET,MA,10013,08/26/2021,Routine Inspection,0,0,0,0,,40.721340905686,-74.005534086421,101,01,003300,1002127503,1002736,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Outdoor,41109096,SOUTHAMPTON APARTMENTS LLC,1429,SHORE PARKWAY,BK,11214,08/06/2021,Routine Inspection,0,2,0,2,,40.598687730288,-74.005916386571,311,43,028200,3064680016,3336453,Bath Beach,BK27
Outdoor,40426204,HIGH POINT-ON-HUDSON OWNERS INC,2727,PALISADE AVENUE,BX,10463,08/06/2021,Routine Inspection,0,0,0,0,,40.883044768185,-73.92016375272,208,11,029301,2057450012,2083473,Spuyten Duyvil-Kingsbridge,BX29
Outdoor,40426030,RIVERPOINT TOWERS COOP INC,555,KAPPOCK STREET,BX,10463,08/06/2021,Routine Inspection,0,0,0,0,,40.878063945457,-73.917482952442,208,11,029302,2057220445,2083246,Spuyten Duyvil-Kingsbridge,BX29
Outdoor,41591390,M & R MANAGEMENT CO INC,2365,EAST 13 STREET,BK,11229,08/06/2021,Routine Inspection,0,1,0,1,,40.592860916311,-73.95715586129,315,48,058400,3073980027,3201796,Homecrest,BK25
Outdoor,41505960,M & R MANAGEMENT CO INC,1230,AVENUE X,BK,11235,08/06/2021,Routine Inspection,0,0,0,0,,40.59189227102,-73.95786940362,315,48,058800,3074130004,3202862,Homecrest,BK25
Outdoor,41587921,DONALD LENTNEK,2770,OCEAN AVENUE,BK,11229,08/06/2021,Routine Inspection,0,1,0,1,,40.593824339792,-73.950367915826,315,48,059200,3074040020,3202124,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Outdoor,41430174,FITMAR MANAGEMENT LLC,1500,PAERDEGAT AVENUE NORTH,BK,11236,08/06/2021,Routine Inspection,0,4,0,4,,40.627296785053,-73.902894183123,318,46,099800,3080120001,3343625,Canarsie,BK50
Outdoor,50073992,SOHO DUMBO LLC,55,WATER STREET,BK,11201,08/07/2021,Routine Inspection,0,0,0,0,,40.703293906326,-73.992047363499,302,33,002100,3000260050,3000019,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38
Outdoor,41679581,KENT AVENUE PROPERTY 3 LLC,1,NORTH FOURTH PLACE,BK,11249,08/07/2021,Routine Inspection,0,0,0,0,,40.719221981601,-73.964202745472,301,33,055500,3023400004,3398150,North Side-South Side,BK73
Outdoor,41679341,SVF KENT BROOKLYN CORPORATION,111,KENT AVENUE,BK,11249,08/07/2021,Routine Inspection,0,0,0,0,,40.720535839043,-73.961467495323,301,33,055700,3023170005,3425620,North Side-South Side,BK73
Outdoor,50110105,96 WYTHE ACQUSITION LLC,96,WYTHE AVENUE,BK,11249,08/07/2021,Routine Inspection,0,0,0,0,,40.721481687569,-73.958331919106,301,33,055700,3022950021,3425311,North Side-South Side,BK73
Outdoor,40426088,YACHT CLUB COVE CONDOMINUM,9,YACHT CLUB COVE,SI,10308,08/08/2021,Routine Inspection,0,0,0,0,,40.547432435495,-74.138908294786,503,51,015603,5051907501,5113378,Great Kills,SI54
Outdoor,40426016,RICHMOND COUNTY COUNTRY CLUB,135,FLAGG PLACE,SI,10304,08/08/2021,Routine Inspection,0,0,0,0,,40.58793589848,-74.104072714536,502,50,018100,5008880018,5106953,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24
Outdoor,40425988,SO. SHORE SWIMMING CLUB INC,6736,HYLAN BOULEVARD,SI,10309,08/08/2021,Routine Inspection,0,0,0,0,,40.508068517904,-74.228282145067,503,51,024402,5077340050,5107843,Charleston-Richmond Valley-Tottenville,SI11
Outdoor,40425991,HILLSIDE SWIMMING CLUB INC,151,SIGNS ROAD,SI,10314,08/08/2021,Routine Inspection,0,0,0,0,,40.602195568282,-74.168274901915,502,50,029103,5021450025,5107354,New Springville-Bloomfield-Travis,SI05
Outdoor,50050908,SECTION THREE SP INC,98-32,57 AVENUE,QU,11368,08/08/2021,Routine Inspection,0,0,0,0,,40.738027521992,-73.861143890259,404,21,045500,4019180072,4047322,Corona,QN25
Outdoor,40426350,NYCP&R / BETSY HEAD,00000,THOMAS BOYLAND & DUMONT AVENUE,BK,11212,08/09/2021,Routine Inspection,0,2,1,1,,40.66343102,-73.91207244,,,,,,,
Outdoor,41419373,HAYDEN ON THE HUDSON CONDOMINIUM,4455,DOUGLAS AVENUE,BX,10471,08/09/2021,Routine Inspection,0,1,0,1,,40.888850266059,-73.91686913214,208,11,030900,2059237501,2096857,North Riverdale-Fieldston-Riverdale,BX22
Outdoor,41359892,SKYVIEW OWNERS CORP,5701,ARLINGTON AVENUE,BX,10471,08/09/2021,Routine Inspection,0,0,0,0,,40.906647570777,-73.906843794398,208,11,032300,2059520096,2086311,North Riverdale-Fieldston-Riverdale,BX22
Outdoor,50058393,SHEEPSHEAD BAY ROAD OWNER LLC,1501,VOORHIES AVENUE,BK,11235,08/09/2021,Routine Inspection,0,0,0,0,,40.585736864211,-73.953747397984,315,48,060600,3074597501,3426433,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Outdoor,40426257,PREMEIR HOUSE INC,1401,OCEAN AVENUE,BK,11230,08/09/2021,Routine Inspection,0,1,1,0,,40.627683864292,-73.956755154163,314,45,076200,3075840035,3206621,Midwood,BK43
Outdoor,40426318,NYCP&R / SHELTERING ARMS,00000,129 STREET & AMSTERDAM AVENUE,MA,10027,08/10/2021,Routine Inspection,0,0,0,0,,40.80953452,-73.941757,,,,,,,
